und	und
minus	minus
hundert	hundert
ein hundert	hundert
tausend	tausend
million	million
millionen	million
milliarde	milliarde
milliarden	milliarde
milliard	milliarde
billion	billion
billionen	billion
billiarde	billiarde
billiarden	billiarde
billiard	billiarde
trillion	trillion
trillionen	trillion
trilliarde	trilliarde
trilliarden	trilliarde
trilliard	trilliarde
